chemicalId,diseaseId,chemicalName,diseaseName,recordCount,pubmedCount,directEvidence,inferenceGeneSymbolCount
MESH:C472829,MESH:D056486,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",Chemical and Drug Induced Liver Injury,1,2,therapeutic,0
MESH:C031763,MESH:D001943,"1,3-butadiene",Breast Neoplasms,1,2,marker/mechanism,0
MESH:C031763,MESH:D002869,"1,3-butadiene",Chromosome Aberrations,1,3,marker/mechanism,0
MESH:C031763,MESH:D006394,"1,3-butadiene",Hemangiosarcoma,1,2,marker/mechanism,0
MESH:C031763,MESH:D007938,"1,3-butadiene",Leukemia,1,3,marker/mechanism,0
MESH:C031763,MESH:D008175,"1,3-butadiene",Lung Neoplasms,1,3,marker/mechanism,0
MESH:C031763,MESH:D048629,"1,3-butadiene","Micronuclei, Chromosome-Defective",1,3,marker/mechanism,0
MESH:C031763,MESH:D009369,"1,3-butadiene",Neoplasms,1,3,marker/mechanism,0
MESH:C031763,MESH:D009374,"1,3-butadiene","Neoplasms, Experimental",1,3,marker/mechanism,0
MESH:C031763,MESH:D013274,"1,3-butadiene",Stomach Neoplasms,1,2,marker/mechanism,0
MESH:C038983,MESH:D058186,"1,3-dimethylthiourea",Acute Kidney Injury,1,3,therapeutic,0
MESH:C038983,MESH:D000419,"1,3-dimethylthiourea",Albuminuria,1,2,therapeutic,0
MESH:C038983,MESH:D011507,"1,3-dimethylthiourea",Proteinuria,1,7,therapeutic,0
MESH:C028474,MESH:D006528,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene","Carcinoma, Hepatocellular",1,2,marker/mechanism,0
MESH:C028474,MESH:D006529,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",Hepatomegaly,1,9,marker/mechanism,0
MESH:C097240,MESH:D007249,"15-deoxy-delta(12,14)-prostaglandin J2",Inflammation,1,2,therapeutic,0
MESH:D015655,MESH:D009336,1-Methyl-4-phenylpyridinium,Necrosis,1,3,marker/mechanism,0
MESH:D015655,MESH:D009410,1-Methyl-4-phenylpyridinium,Nerve Degeneration,1,7,marker/mechanism,0
MESH:D015655,MESH:D010300,1-Methyl-4-phenylpyridinium,Parkinson Disease,1,3,marker/mechanism,0
MESH:D015655,MESH:D020734,1-Methyl-4-phenylpyridinium,Parkinsonian Disorders,1,17,marker/mechanism,0
MESH:C032668,MESH:D000230,1-nitropyrene,Adenocarcinoma,1,3,marker/mechanism,0
MESH:C032668,MESH:D000236,1-nitropyrene,Adenoma,1,2,marker/mechanism,0
MESH:C032668,MESH:D002294,1-nitropyrene,"Carcinoma, Squamous Cell",1,2,marker/mechanism,0
MESH:C032668,MESH:D006965,1-nitropyrene,Hyperplasia,1,2,marker/mechanism,0
MESH:C032668,MESH:D008325,1-nitropyrene,"Mammary Neoplasms, Experimental",1,4,marker/mechanism,0
MESH:C552597,MESH:D002375,1-pentyl-3-(1-naphthoyl)indole,Catalepsy,1,2,marker/mechanism,0
MESH:C552597,MESH:D007035,1-pentyl-3-(1-naphthoyl)indole,Hypothermia,1,4,marker/mechanism,0
MESH:C552597,MESH:D012640,1-pentyl-3-(1-naphthoyl)indole,Seizures,1,4,marker/mechanism,0
MESH:C552888,MESH:D003371,"2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide",Cough,1,2,therapeutic,0
MESH:C552888,MESH:D004487,"2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide",Edema,1,3,therapeutic,0
MESH:C552888,MESH:D006930,"2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide",Hyperalgesia,1,3,therapeutic,0
MESH:C552888,MESH:D053201,"2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide","Urinary Bladder, Overactive",1,2,therapeutic,0
MESH:C532162,MESH:D001943,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",Breast Neoplasms,1,3,therapeutic,0
MESH:C532162,MESH:D009361,"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",Neoplasm Invasiveness,1,2,therapeutic,0
MESH:C548651,MESH:D003092,2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester,Colitis,1,2,therapeutic,0
MESH:C511295,MESH:D056486,"2,2',4,4'-tetrabromodiphenyl ether",Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
MESH:C511295,MESH:D004487,"2,2',4,4'-tetrabromodiphenyl ether",Edema,1,2,marker/mechanism,0
MESH:C511295,MESH:D005234,"2,2',4,4'-tetrabromodiphenyl ether",Fatty Liver,1,3,marker/mechanism,0
MESH:C511295,MESH:D006529,"2,2',4,4'-tetrabromodiphenyl ether",Hepatomegaly,1,3,marker/mechanism,0
MESH:C511295,MESH:D011041,"2,2',4,4'-tetrabromodiphenyl ether",Poisoning,1,2,marker/mechanism,0
MESH:C511295,MESH:D011297,"2,2',4,4'-tetrabromodiphenyl ether",Prenatal Exposure Delayed Effects,1,2,marker/mechanism,0
MESH:C093973,MESH:D006930,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Hyperalgesia,1,4,therapeutic,0
MESH:C093973,MESH:D009336,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Necrosis,1,2,therapeutic,0
MESH:C093973,MESH:D009361,2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,Neoplasm Invasiveness,1,4,therapeutic,0
MESH:C078765,MESH:D002292,"2,3,5-(triglutathion-S-yl)hydroquinone","Carcinoma, Renal Cell",1,3,marker/mechanism,0
MESH:C078765,MESH:D002471,"2,3,5-(triglutathion-S-yl)hydroquinone","Cell Transformation, Neoplastic",1,2,marker/mechanism,0
MESH:C078765,MESH:D007674,"2,3,5-(triglutathion-S-yl)hydroquinone",Kidney Diseases,1,4,marker/mechanism,0
MESH:C078765,MESH:D007680,"2,3,5-(triglutathion-S-yl)hydroquinone",Kidney Neoplasms,1,6,marker/mechanism,0
MESH:C014024,MESH:D000067877,"2,4,5,2',4',5'-hexachlorobiphenyl",Autism Spectrum Disorder,1,2,marker/mechanism,0
MESH:C014024,MESH:D005317,"2,4,5,2',4',5'-hexachlorobiphenyl",Fetal Growth Retardation,1,2,marker/mechanism,0
MESH:C014024,MESH:D006529,"2,4,5,2',4',5'-hexachlorobiphenyl",Hepatomegaly,1,2,marker/mechanism,0
MESH:C014024,MESH:D006984,"2,4,5,2',4',5'-hexachlorobiphenyl",Hypertrophy,1,2,marker/mechanism,0
MESH:C014024,MESH:D008113,"2,4,5,2',4',5'-hexachlorobiphenyl",Liver Neoplasms,1,2,marker/mechanism,0
